id,phase_uuid,round_date,created_at,time_round,local,event_phase_uuid,event_parts_count,round_name
72b19a8d-aea3-402b-bed7-34fc57a53966,,,2026-06-12 05:12:23.1825,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,HOLANDA vs JAPAO
75f13f6c-f807-405d-a0b1-5d724b81469e,,,2026-06-12 22:03:45.651366,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
76411f82-24e5-454e-8a35-bf6e441d462b,,2026-06-13,2026-06-12 01:47:07.76233,16:30:00,Mxico,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,BRASIL vs MARROCOS
7e41c5b2-72f6-4f37-8c4c-2908e4d1d418,,,2026-06-12 22:03:44.061379,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
81c37eae-c50f-4576-b603-f14651743c1f,,2026-06-14,2026-06-12 22:07:57.378266,14:00:00,"Campo do Ceres ",8aace324-77d9-450e-a952-bf0dedc528ae,1,Ceres vs Batã
826fa5e3-ea6a-4e84-88f7-bd74d15ba907,,,2026-06-12 22:03:55.194271,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
834cfc08-b868-4226-b71c-4bd95eac5bcd,,,2026-06-12 22:03:44.512841,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
84017e37-36bc-4ada-97c9-7ce189de52fa,,,2026-06-12 22:03:43.608603,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
8649a752-25fc-4043-aa92-8eb16962fa3e,,,2026-06-12 22:03:49.782706,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
8742b5e6-854a-4895-b5fd-e197aba5115e,,,2026-06-12 22:03:56.266458,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
892aeac6-5054-4673-b2ef-5046f11a5725,,,2026-06-12 22:03:49.355501,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
8a6ba7ce-6328-4334-938a-b97d6114e1b0,,,2026-06-12 22:03:50.215399,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
91564d20-9df1-451a-bfe2-4b0f7a54c474,,,2026-06-12 05:12:22.758091,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,AUSTRALIA vs TURQUIA
91878db4-8d38-481b-a948-b7cb3f0725ea,,,2026-06-12 22:03:49.564165,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
952717ad-a993-4057-8abd-c25680146f17,,,2026-06-12 22:03:53.470375,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
9607b31d-1c99-4440-8553-e1a26b776e1c,,,2026-06-12 22:03:56.472828,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
9c780516-8969-4f3b-912e-b88f5eb5c5e2,,,2026-06-12 22:03:43.369964,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
9e6fadc6-23d0-460d-8d02-f0b09119e672,,,2026-06-12 22:03:50.858709,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
9e81e923-7eaf-4b74-895e-52bf8bc03632,,,2026-06-12 22:03:56.694882,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
9ff1ed0f-110d-4801-b2f7-b360fb9292a7,,,2026-06-12 22:03:54.557127,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
a45f9454-07cb-44dd-ba95-72e3e176d7e7,,,2026-06-12 22:03:54.336091,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
a9a5ab14-e7f3-4294-b39e-65af1f36f780,,,2026-06-12 22:03:44.924948,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
aa67bbd0-9693-4dfa-b0c6-ac2e79f7038a,,,2026-06-12 22:03:46.987327,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
ae0b75e2-5b15-4653-b4ad-785374bd91e5,,,2026-06-12 22:03:57.33956,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
b30ab273-78f9-44ce-aedf-c96966c5ad0a,,,2026-06-12 22:03:54.764277,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
b44e15c8-09d9-4a5d-90e0-48d88522f4e2,,,2026-06-12 22:03:51.929513,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
b5d7644c-fd34-4b35-830a-4c6e9bb21867,,,2026-06-12 22:03:52.719827,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
b60ac37c-b9da-41fe-8962-f162d91230db,,,2026-06-12 22:03:47.207402,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
b6564a95-ce7c-4e8c-aede-ead834aadde5,,,2026-06-12 05:12:23.806337,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,ESPANHA vs CABO VERDE
b66c8790-d3ff-4a2e-abd0-84ac07b45ad1,,,2026-06-12 22:03:55.836276,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
b7f64ea5-8198-4f41-9f85-3445b7cac321,,,2026-06-12 05:12:23.601128,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,SUECIA vs TUNISIA
bb072432-d810-4592-ae51-ba51db8fbb99,,,2026-06-12 22:03:54.126146,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
c0275b0a-9082-42f3-865a-512d0b2f2865,,2026-06-13,2026-06-12 05:12:22.330805,16:00:00,,4fc838a9-5785-443f-b074-21dde132a2f0,2,BRASIL vs MARROCOS
